cand	1		793.412167ms	324725744	28084213	17767132	7.84
0720	1		658.725463ms	373666448	31025240	20752579	7.77
cand	2		506.7156ms	324724264	28084213	17767132	7.77
0720	2		713.458064ms	373644664	31025240	20752579	7.77
cand	3		647.290096ms	291122416	28084213	17767132	7.77
0720	3		1.047313736s	373640480	31025240	20752579	7.77
cand	4		597.681821ms	324718304	28084213	17767132	7.95
0720	4		811.871066ms	373689728	31025240	20752579	7.95
cand	5		1.012451566s	291084864	28084213	17767132	7.95
0720	5		951.235984ms	440705976	31025240	20752579	7.95
cand	6		640.220579ms	324751512	28084213	17767132	7.87
0720	6		683.822593ms	373663232	31025240	20752579	7.87
cand	7		874.860187ms	291116096	28084213	17767132	7.87
0720	7		814.780067ms	373695632	31025240	20752579	7.87
cand	8		631.401305ms	324767920	28084213	17767132	8.04
0720	8		687.097625ms	440805240	31025240	20752579	8.04
cand	9		744.518176ms	324632496	28084213	17767132	8.04
0720	9		801.949965ms	440709128	31025240	20752579	8.04
cand	10		618.919901ms	324697848	28084213	17767132	8.04
0720	10		735.583867ms	440784400	31025240	20752579	8.04
cand	11		639.182882ms	324764288	28084213	17767132	8.04
0720	11		868.232986ms	440735176	31025240	20752579	8.04
cand	12		675.961271ms	324664016	28084213	17767132	8.04
0720	12		942.224282ms	440875232	31025240	20752579	8.12
